rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
540,FLT,Volatus Aerospace Inc.,460.42M,0.67,-1.47%,34.20M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,FLT.TO,Industrials,Aerospace & Defense,Volatus Aerospace Inc.,EQUITY,success
541,NOU,Nouveau Monde Graphite Inc.,459.96M,2.82,-0.70%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,NOU.TO,Basic Materials,Other Industrial Metals & Mining,Nouveau Monde Graphite Inc.,EQUITY,success
542,GTE,Gran Tierra Energy Inc.,456.70M,12.66,-2.47%,818.17M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GTE.TO,Energy,Oil & Gas E&P,Gran Tierra Energy Inc.,EQUITY,success
543,CPH,Cipher Pharmaceuticals Inc.,456.28M,17.85,-0.67%,69.17M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CPH.TO,Healthcare,Drug Manufacturers - Specialty & Generic,Cipher Pharmaceuticals Inc.,EQUITY,success
544,FC,Firm Capital Mortgage Investment Corporation,446.38M,12.27,0.99%,42.56M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,FC.TO,Financial Services,Mortgage Finance,Firm Capital Mortgage Investment Corporation,EQUITY,success
545,CVVY,Cavvy Energy Ltd.,441.99M,1.41,-1.40%,217.92M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CVVY.TO,Energy,Oil & Gas E&P,Cavvy Energy Ltd.,EQUITY,success
546,CVO,Coveo Solutions Inc.,441.98M,4.69,-1.05%,199.16M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CVO.TO,Technology,Software - Infrastructure,Coveo Solutions Inc.,EQUITY,success
547,MRT.UN,Morguard Real Estate Investment Trust,434.04M,6.5,-0.61%,241.17M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MRT-UN.TO,Real Estate,REIT - Diversified,Morguard Real Estate Investment Trust,EQUITY,success
548,GASX,NG Energy International Corp.,433.71M,1.6,-5.33%,45.02M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GASX.TO,Energy,Oil & Gas E&P,NG Energy International Corp.,EQUITY,success
549,KSI,"kneat.com, inc.",429.71M,4.51,0.89%,63.26M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,KSI.TO,Healthcare,Health Information Services,"kneat.com, inc.",EQUITY,success
